feature	factor	value	view
ACAD9	Factor1	0.14960618359808936	Human transcriptome
ACADM	Factor1	0.010912932279792153	Human transcriptome
ACADS	Factor1	1.7031319963007905e-4	Human transcriptome
ACADSB	Factor1	1.1877915851008139e-4	Human transcriptome
ACADVL	Factor1	0.7211959443773772	Human transcriptome
ACAP1	Factor1	7.74330030343879e-5	Human transcriptome
ACAP2	Factor1	0.19159238023408356	Human transcriptome
ACAP3	Factor1	0.29168866474059396	Human transcriptome
ACAT1	Factor1	0.0011627860020601826	Human transcriptome
ACAT2	Factor1	-3.993182927691699e-4	Human transcriptome
ACBD3	Factor1	4.2960214093087294e-4	Human transcriptome
ACBD5	Factor1	2.550658618201756e-4	Human transcriptome
ACBD6	Factor1	0.0852599862015709	Human transcriptome
ACCS	Factor1	0.08409985143948707	Human transcriptome
ACD	Factor1	4.5036621445893727e-4	Human transcriptome
ACER3	Factor1	1.1882950879226182e-4	Human transcriptome
ACIN1	Factor1	0.042600695237605284	Human transcriptome
ACKR3	Factor1	6.819665255198593e-4	Human transcriptome
ACLY	Factor1	0.012750767953533066	Human transcriptome
ACO1	Factor1	1.3760782063172372e-4	Human transcriptome
ACO2	Factor1	0.11581369845997434	Human transcriptome
ACOT11	Factor1	-5.621285743758087e-5	Human transcriptome
ACOT13	Factor1	3.264511440164233e-4	Human transcriptome
ACOT2	Factor1	1.6768349347243776e-4	Human transcriptome
ACOT7	Factor1	-0.0013883249251190005	Human transcriptome
ACOT8	Factor1	2.893171894913116e-4	Human transcriptome
ACOT9	Factor1	0.0052847668251963294	Human transcriptome
ACOX1	Factor1	0.0179944091846866	Human transcriptome
ACOX3	Factor1	-2.642189001314911e-4	Human transcriptome
ACP1	Factor1	0.165698151100824	Human transcriptome
ACP2	Factor1	-7.773196930513706e-5	Human transcriptome
ACP5	Factor1	0.0014165020354321744	Human transcriptome
ACP6	Factor1	1.3437942683425087e-4	Human transcriptome
ACPP	Factor1	-2.4157024702987128e-4	Human transcriptome
ACRBP	Factor1	2.0232005086218788e-5	Human transcriptome
ACSF2	Factor1	0.010381179756585281	Human transcriptome
ACSF3	Factor1	0.012559726331056517	Human transcriptome
ACSL1	Factor1	4.388188780605822e-5	Human transcriptome
ACSL3	Factor1	-0.008155076115161218	Human transcriptome
ACSL4	Factor1	4.451847201451509e-4	Human transcriptome
ACSL5	Factor1	1.8299877324009887e-5	Human transcriptome
ACSS1	Factor1	4.639968670873111e-4	Human transcriptome
ACSS2	Factor1	-9.611753697367563e-4	Human transcriptome
ACTA2	Factor1	2.3853589003027477e-5	Human transcriptome
ACTB	Factor1	-0.002283752786442629	Human transcriptome
ACTG1	Factor1	-0.004550920689348007	Human transcriptome
ACTG2	Factor1	-0.0044792933210438075	Human transcriptome
ACTL6A	Factor1	0.09697594914936114	Human transcriptome
ACTN1	Factor1	-0.03706160065328073	Human transcriptome
ACTN4	Factor1	0.0038681424120905242	Human transcriptome
ACTR10	Factor1	3.803317273061622e-5	Human transcriptome
ACTR1A	Factor1	0.027135658183785764	Human transcriptome
ACTR1B	Factor1	0.005048882194633751	Human transcriptome
ACTR2	Factor1	-0.019423603816535292	Human transcriptome
ACTR3	Factor1	-0.23368555702503227	Human transcriptome
ACTR5	Factor1	3.918336471667143e-4	Human transcriptome
ACTR6	Factor1	0.004998110942588077	Human transcriptome
ACTR8	Factor1	0.001790328879368449	Human transcriptome
ACVR1	Factor1	0.005036808896324027	Human transcriptome
ACVR1B	Factor1	0.07031284360429826	Human transcriptome
ACVR2A	Factor1	0.06973341068024697	Human transcriptome
ACVR2B	Factor1	0.0060128309944514425	Human transcriptome
ACYP2	Factor1	0.001971008663175976	Human transcriptome
ADA	Factor1	0.0027629796859799352	Human transcriptome
ADAL	Factor1	8.473156079853624e-4	Human transcriptome
ADAM10	Factor1	0.17448663469366898	Human transcriptome
ADAM12	Factor1	1.0340324413600438e-4	Human transcriptome
ADAM15	Factor1	0.3351956151458042	Human transcriptome
ADAM17	Factor1	0.1716696941544821	Human transcriptome
ADAM19	Factor1	2.5064771099413172e-5	Human transcriptome
ADAM22	Factor1	-6.166224894463693e-5	Human transcriptome
ADAM23	Factor1	6.779817745515445e-4	Human transcriptome
ADAM8	Factor1	-0.001257648580831275	Human transcriptome
ADAM9	Factor1	3.247088464915508e-4	Human transcriptome
ADAMTS1	Factor1	2.3224331054624798e-4	Human transcriptome
ADAMTS14	Factor1	8.967670056622747e-5	Human transcriptome
ADAMTS15	Factor1	-5.3141518580484766e-5	Human transcriptome
ADAMTS6	Factor1	-1.8449781038260246e-4	Human transcriptome
ADAMTS7	Factor1	8.17259845802425e-4	Human transcriptome
ADAMTSL1	Factor1	-8.957811588806367e-5	Human transcriptome
ADAMTSL4	Factor1	4.128190670195702e-4	Human transcriptome
ADAMTSL5	Factor1	5.2395440776851496e-5	Human transcriptome
ADAP1	Factor1	4.1775857926282966e-5	Human transcriptome
ADAR	Factor1	0.7896393751573386	Human transcriptome
ADARB1	Factor1	4.759020900277308e-4	Human transcriptome
ADAT1	Factor1	1.8413955153905582e-5	Human transcriptome
ADAT2	Factor1	0.0695690197912156	Human transcriptome
ADCK2	Factor1	4.724657946547928e-4	Human transcriptome
ADCK5	Factor1	0.0035796533931418554	Human transcriptome
ADCY10P1	Factor1	2.4523206984821287e-5	Human transcriptome
ADCY3	Factor1	0.008537618956832214	Human transcriptome
ADCY6	Factor1	8.263274119250394e-4	Human transcriptome
ADCY7	Factor1	0.03278978901055766	Human transcriptome
ADCY9	Factor1	0.005048932032886733	Human transcriptome
ADD1	Factor1	0.2611446241460375	Human transcriptome
ADD2	Factor1	1.32954540642698e-5	Human transcriptome
ADD3	Factor1	0.24305334084253696	Human transcriptome
ADGRA2	Factor1	-2.470329253000156e-4	Human transcriptome
ADGRA3	Factor1	0.01616865457361986	Human transcriptome
ADGRB2	Factor1	6.830266193357544e-4	Human transcriptome
ADGRD1	Factor1	-1.0415109759457068e-5	Human transcriptome
ADGRE2	Factor1	-1.7415716847354852e-6	Human transcriptome
ADGRE3	Factor1	-3.248047269817944e-6	Human transcriptome
ADGRE4P	Factor1	6.011601944867601e-7	Human transcriptome
ADGRE5	Factor1	2.2189694993334235e-4	Human transcriptome
ADGRF1	Factor1	1.1394170192871932e-4	Human transcriptome
ADGRF4	Factor1	7.06892434431593e-4	Human transcriptome
ADGRG1	Factor1	0.16776938954497053	Human transcriptome
ADGRG3	Factor1	-7.953471550906682e-6	Human transcriptome
ADGRG5	Factor1	2.1870033709644233e-5	Human transcriptome
ADGRG6	Factor1	-0.001767820955909919	Human transcriptome
ADGRL1	Factor1	0.06145327596938606	Human transcriptome
ADH5	Factor1	0.22931998466142517	Human transcriptome
ADH7	Factor1	-0.005680414809966756	Human transcriptome
ADI1	Factor1	0.013034039113711055	Human transcriptome
ADIPOR1	Factor1	2.8087114002811163e-5	Human transcriptome
ADIPOR2	Factor1	0.1857378927774296	Human transcriptome
ADK	Factor1	3.3723913013589834e-4	Human transcriptome
ADM	Factor1	0.23299940420059778	Human transcriptome
ADM2	Factor1	0.0010441209886526655	Human transcriptome
ADNP	Factor1	0.3744592400231503	Human transcriptome
ADNP2	Factor1	0.11734617131155524	Human transcriptome
ADO	Factor1	0.0033015226449506206	Human transcriptome
ADORA2B	Factor1	0.0037810884898985147	Human transcriptome
ADPGK	Factor1	0.13428975604319116	Human transcriptome
ADPRHL2	Factor1	0.004415316840932068	Human transcriptome
ADPRM	Factor1	4.169451774600998e-4	Human transcriptome
ADRB2	Factor1	7.500877677728446e-4	Human transcriptome
ADRM1	Factor1	0.007780037922979628	Human transcriptome
ADSS	Factor1	0.008376647355679435	Human transcriptome
ADTRP	Factor1	0.0027928646107820217	Human transcriptome
AEBP1	Factor1	-5.585511868642148e-5	Human transcriptome
AEBP2	Factor1	0.08768424743507668	Human transcriptome
AEN	Factor1	0.004043857543611078	Human transcriptome
AES	Factor1	0.22142444842809883	Human transcriptome
AFAP1	Factor1	1.3653686844893316e-4	Human transcriptome
AFAP1L2	Factor1	0.004263220882381249	Human transcriptome
AFDN	Factor1	0.016700623769932664	Human transcriptome
AFF1	Factor1	0.3036051970843318	Human transcriptome
AFF3	Factor1	-4.4518462772133923e-5	Human transcriptome
AFF4	Factor1	0.43991238462137994	Human transcriptome
AFG3L1P	Factor1	0.008750113595542995	Human transcriptome
AFG3L2	Factor1	3.9706256173493424e-5	Human transcriptome
AFMID	Factor1	2.1303512726079317e-4	Human transcriptome
AFTPH	Factor1	0.1466227532587576	Human transcriptome
AGA	Factor1	5.779587957045284e-4	Human transcriptome
AGAP1	Factor1	0.002308248589429601	Human transcriptome
AGAP2	Factor1	7.813302269951242e-6	Human transcriptome
AGAP3	Factor1	-0.003224861068066936	Human transcriptome
AGBL5	Factor1	7.880072572096171e-5	Human transcriptome
AGER	Factor1	1.1886822550893779e-4	Human transcriptome
AGFG1	Factor1	0.31947927290024064	Human transcriptome
AGFG2	Factor1	4.5750634275919426e-5	Human transcriptome
AGGF1	Factor1	0.003983600131710793	Human transcriptome
AGK	Factor1	1.4355425705178272e-4	Human transcriptome
AGL	Factor1	-5.0305360766152744e-5	Human transcriptome
AGO1	Factor1	0.0492626240018273	Human transcriptome
AGO2	Factor1	0.381038690120917	Human transcriptome
AGO3	Factor1	0.1360219327671562	Human transcriptome
AGO4	Factor1	5.535617090335086e-6	Human transcriptome
AGPAT1	Factor1	-9.604972387491783e-6	Human transcriptome
AGPAT2	Factor1	0.007848266381089326	Human transcriptome
AGPAT3	Factor1	0.1978153044422121	Human transcriptome
AGPAT4	Factor1	0.1306262228201388	Human transcriptome
AGPAT5	Factor1	2.9400428219325986e-4	Human transcriptome
AGPS	Factor1	0.02669118502106329	Human transcriptome
AGR2	Factor1	-3.075538161268985e-5	Human transcriptome
AGRN	Factor1	8.656671153550455e-5	Human transcriptome
AGTPBP1	Factor1	0.0012085506745231579	Human transcriptome
AGTRAP	Factor1	6.769022643906429e-5	Human transcriptome
AHCTF1	Factor1	0.013495863050092075	Human transcriptome
AHCY	Factor1	0.004227977607618689	Human transcriptome
AHCYL1	Factor1	3.806881926492083e-5	Human transcriptome
AHCYL2	Factor1	9.599955189270245e-4	Human transcriptome
AHDC1	Factor1	0.014030474343560046	Human transcriptome
AHI1	Factor1	0.06131505984861949	Human transcriptome
AHNAK	Factor1	0.04603413188677574	Human transcriptome
AHNAK2	Factor1	-1.2607145187079036e-4	Human transcriptome
AHR	Factor1	-8.82433977067864e-5	Human transcriptome
AHSA1	Factor1	0.15931199971626672	Human transcriptome
AHSA2	Factor1	0.28636539620781093	Human transcriptome
AHSP	Factor1	-3.3585228116604832e-6	Human transcriptome
AIDA	Factor1	0.011078071281299175	Human transcriptome
AIF1	Factor1	-5.919250508282186e-6	Human transcriptome
AIF1L	Factor1	-0.00201350948696434	Human transcriptome
AIFM1	Factor1	0.012664936875617018	Human transcriptome
AIFM2	Factor1	2.9222441214017474e-4	Human transcriptome
AIG1	Factor1	-1.0003130673298024e-5	Human transcriptome
AIM1	Factor1	0.2918961318714469	Human transcriptome
AIM1L	Factor1	-3.7314548707106324e-5	Human transcriptome
AIMP1	Factor1	0.14420585832208072	Human transcriptome
AIMP2	Factor1	0.002134040407288321	Human transcriptome
AIP	Factor1	0.002261715816556241	Human transcriptome
AJUBA	Factor1	-2.884389874693984e-5	Human transcriptome
AK2	Factor1	0.14337813447372216	Human transcriptome
AK3	Factor1	0.1746493140400207	Human transcriptome
AK4	Factor1	-8.78097024504569e-4	Human transcriptome
AK5	Factor1	1.930565791071947e-5	Human transcriptome
AK6	Factor1	7.342365421738359e-4	Human transcriptome
AK9	Factor1	2.2590702583340894e-4	Human transcriptome
AKAP1	Factor1	0.19224708138478638	Human transcriptome
AKAP10	Factor1	4.828301712942486e-5	Human transcriptome
AKAP11	Factor1	0.3445533542024283	Human transcriptome
AKAP12	Factor1	-8.778580515362129e-4	Human transcriptome
AKAP13	Factor1	0.2190787261816416	Human transcriptome
AKAP6	Factor1	5.461985558988372e-4	Human transcriptome
AKAP7	Factor1	1.1711369031348984e-4	Human transcriptome
AKAP8	Factor1	0.0032967666733899966	Human transcriptome
AKAP8L	Factor1	-8.077996506874907e-5	Human transcriptome
AKAP9	Factor1	0.024896913319707933	Human transcriptome
AKIP1	Factor1	0.008367121751074092	Human transcriptome
AKIRIN1	Factor1	0.1934154625568011	Human transcriptome
AKIRIN2	Factor1	0.004905739925047046	Human transcriptome
AKNA	Factor1	3.7894117251298674e-4	Human transcriptome
AKR1A1	Factor1	0.07028217369085722	Human transcriptome
AKR1B1	Factor1	0.025670945179561033	Human transcriptome
AKR1B10	Factor1	6.862453342730456e-4	Human transcriptome
AKR1C1	Factor1	2.775326170687288e-4	Human transcriptome
AKR1C2	Factor1	0.0013981039193755713	Human transcriptome
AKR1C3	Factor1	0.001086889253208243	Human transcriptome
AKR7A2	Factor1	-2.3213962299911838e-4	Human transcriptome
AKT1	Factor1	0.16899760983493956	Human transcriptome
AKT1S1	Factor1	7.098334597533151e-4	Human transcriptome
AKT2	Factor1	0.19816672894108678	Human transcriptome
AKT3	Factor1	0.00455836390501012	Human transcriptome
AKTIP	Factor1	-2.2927737028422023e-5	Human transcriptome
ALAD	Factor1	0.008887145466848273	Human transcriptome
ALAS1	Factor1	0.09113785725808579	Human transcriptome
ALAS2	Factor1	1.3872595755524917e-6	Human transcriptome
ALCAM	Factor1	-0.0037351603566763147	Human transcriptome
ALDH16A1	Factor1	0.002389492212442818	Human transcriptome
ALDH18A1	Factor1	0.2273812010350336	Human transcriptome
ALDH1A1	Factor1	-4.9907888835148266e-5	Human transcriptome
ALDH1A3	Factor1	-0.003205163138140438	Human transcriptome
ALDH1B1	Factor1	8.368136075435492e-4	Human transcriptome
ALDH1L2	Factor1	4.089006930730243e-4	Human transcriptome
ALDH2	Factor1	0.001249599572878817	Human transcriptome
ALDH3A1	Factor1	-0.0027390661066943266	Human transcriptome
ALDH3A2	Factor1	0.008330964154310625	Human transcriptome
ALDH3B1	Factor1	3.061729990981058e-5	Human transcriptome
ALDH3B2	Factor1	3.600240411063189e-5	Human transcriptome
ALDH4A1	Factor1	-2.636728989299007e-4	Human transcriptome
ALDH5A1	Factor1	4.976665548032397e-5	Human transcriptome
ALDH6A1	Factor1	2.2894394828783677e-4	Human transcriptome
ALDH7A1	Factor1	-7.475640566583857e-6	Human transcriptome
ALDH9A1	Factor1	0.16706110396718954	Human transcriptome
ALDOA	Factor1	-7.707770259837096e-4	Human transcriptome
ALDOC	Factor1	-3.4194516416852184e-5	Human transcriptome
ALG10	Factor1	5.637131221877758e-4	Human transcriptome
ALG11	Factor1	7.902344953379808e-4	Human transcriptome
ALG12	Factor1	2.155276157048038e-4	Human transcriptome
ALG13	Factor1	7.392936384095327e-4	Human transcriptome
ALG14	Factor1	9.85353190359008e-4	Human transcriptome
ALG2	Factor1	0.0016195762644602388	Human transcriptome
ALG3	Factor1	0.0029890611469422755	Human transcriptome
ALG5	Factor1	0.012455056927653106	Human transcriptome
ALG8	Factor1	0.00492198933362658	Human transcriptome
ALKBH1	Factor1	2.7222353382942303e-4	Human transcriptome
ALKBH2	Factor1	1.826725966340292e-4	Human transcriptome
ALKBH3	Factor1	3.0057282964173916e-5	Human transcriptome
ALKBH4	Factor1	7.5350493336648e-4	Human transcriptome
ALKBH5	Factor1	1.055551531789677e-4	Human transcriptome
ALKBH7	Factor1	0.01292099201564065	Human transcriptome
ALMS1	Factor1	0.0035806776650183694	Human transcriptome
ALOX12	Factor1	-5.488900682604484e-5	Human transcriptome
ALOX15	Factor1	-3.8391455060191986e-4	Human transcriptome
ALOX5	Factor1	-5.402518091986098e-6	Human transcriptome
ALOX5AP	Factor1	3.698714029093275e-5	Human transcriptome
ALPK1	Factor1	-3.682166095393192e-7	Human transcriptome
ALPL	Factor1	-4.500437068573907e-6	Human transcriptome
ALS2	Factor1	0.0011444428297051872	Human transcriptome
ALS2CL	Factor1	0.008173654318250121	Human transcriptome
ALYREF	Factor1	0.0029285109810202226	Human transcriptome
AMBRA1	Factor1	-6.487665024458057e-4	Human transcriptome
AMD1	Factor1	0.17884075403487926	Human transcriptome
AMDHD2	Factor1	2.421736679031566e-4	Human transcriptome
AMER1	Factor1	0.0021314520413158204	Human transcriptome
AMFR	Factor1	0.38485517595045304	Human transcriptome
AMIGO1	Factor1	-1.5411348075798753e-4	Human transcriptome
AMIGO2	Factor1	0.00961649709076948	Human transcriptome
AMMECR1	Factor1	7.371673194980591e-4	Human transcriptome
AMMECR1L	Factor1	0.1072213672250204	Human transcriptome
AMOTL1	Factor1	0.010096038064316188	Human transcriptome
AMOTL2	Factor1	1.1529478204681682e-4	Human transcriptome
AMPD2	Factor1	0.004439622283734833	Human transcriptome
AMPD3	Factor1	7.621081598487287e-4	Human transcriptome
AMY2B	Factor1	3.086835401249628e-4	Human transcriptome
AMZ2	Factor1	2.0958798093438272e-6	Human transcriptome
ANAPC1	Factor1	0.0016916419946000894	Human transcriptome
ANAPC11	Factor1	0.02378223845686885	Human transcriptome
ANAPC13	Factor1	-1.4860578931648267e-5	Human transcriptome
ANAPC16	Factor1	0.018196895034720835	Human transcriptome
ANAPC2	Factor1	0.11619246613348468	Human transcriptome
ANAPC4	Factor1	0.1038178175280121	Human transcriptome
ANAPC5	Factor1	0.21472517714457903	Human transcriptome
ANAPC7	Factor1	0.07242422925332953	Human transcriptome
ANGEL1	Factor1	1.0011736266412869e-4	Human transcriptome
ANGEL2	Factor1	-1.4843913791383646e-5	Human transcriptome
ANGPTL4	Factor1	-2.4200108444492243e-4	Human transcriptome
ANK1	Factor1	5.1873584202249276e-5	Human transcriptome
ANK2	Factor1	1.7774531051851134e-4	Human transcriptome
ANK3	Factor1	0.1123369876826115	Human transcriptome
ANKAR	Factor1	5.087534795249996e-5	Human transcriptome
ANKDD1A	Factor1	1.7999152327426834e-5	Human transcriptome
ANKEF1	Factor1	0.0015610383107342784	Human transcriptome
ANKFY1	Factor1	0.16820585362463145	Human transcriptome
ANKH	Factor1	0.14729820224522105	Human transcriptome
ANKIB1	Factor1	0.13476680886406647	Human transcriptome
ANKLE2	Factor1	0.02363765437505898	Human transcriptome
ANKMY1	Factor1	7.526087124954841e-4	Human transcriptome
ANKMY2	Factor1	7.755605111819125e-4	Human transcriptome
ANKRA2	Factor1	0.008244164115796418	Human transcriptome
ANKRD10	Factor1	0.00967051616614729	Human transcriptome
ANKRD11	Factor1	0.3288797388763184	Human transcriptome
ANKRD12	Factor1	0.11582472232229081	Human transcriptome
ANKRD13A	Factor1	5.5255589571585026e-5	Human transcriptome
ANKRD13C	Factor1	0.00885761190570305	Human transcriptome
ANKRD13D	Factor1	0.012307313350601982	Human transcriptome
ANKRD17	Factor1	0.6919507532260882	Human transcriptome
ANKRD20A11P	Factor1	-6.266246605969672e-4	Human transcriptome
ANKRD22	Factor1	-6.120051347797699e-5	Human transcriptome
ANKRD26	Factor1	0.06931754320575878	Human transcriptome
ANKRD27	Factor1	2.3716951259031685e-6	Human transcriptome
ANKRD28	Factor1	6.412784379116687e-4	Human transcriptome
ANKRD33B	Factor1	-6.914316858444958e-5	Human transcriptome
ANKRD35	Factor1	-4.78540343285825e-5	Human transcriptome
ANKRD36	Factor1	0.0038609901554212114	Human transcriptome
ANKRD36B	Factor1	3.53942514501398e-6	Human transcriptome
ANKRD36BP2	Factor1	-7.5391159200996345e-6	Human transcriptome
ANKRD36C	Factor1	1.1363196719866889e-5	Human transcriptome
ANKRD37	Factor1	2.495385056932108e-5	Human transcriptome
ANKRD39	Factor1	3.639700415365345e-4	Human transcriptome
ANKRD40	Factor1	7.909667684892207e-4	Human transcriptome
ANKRD42	Factor1	3.34601748108507e-4	Human transcriptome
ANKRD44	Factor1	-6.128388697563274e-4	Human transcriptome
ANKRD46	Factor1	0.09519712393853837	Human transcriptome
ANKRD49	Factor1	-1.6207445838737329e-4	Human transcriptome
ANKRD50	Factor1	0.0030770064381196852	Human transcriptome
ANKRD52	Factor1	0.17498614244539049	Human transcriptome
ANKRD54	Factor1	5.518856219127228e-4	Human transcriptome
ANKRD55	Factor1	1.8767487951973357e-5	Human transcriptome
ANKRD6	Factor1	1.2933179825895487e-4	Human transcriptome
ANKRD65	Factor1	5.962951132679402e-4	Human transcriptome
ANKRD9	Factor1	1.631251905780851e-4	Human transcriptome
ANKS1A	Factor1	0.022092398594412182	Human transcriptome
ANKS6	Factor1	0.006853388541158338	Human transcriptome
ANKZF1	Factor1	0.010580705738728475	Human transcriptome
ANLN	Factor1	-6.287073932744959e-4	Human transcriptome
ANO1	Factor1	-8.970949976415014e-4	Human transcriptome
ANO10	Factor1	-1.240294014959989e-4	Human transcriptome
ANO4	Factor1	-2.2460217374573035e-5	Human transcriptome
ANO6	Factor1	7.509488062749752e-5	Human transcriptome
ANO8	Factor1	6.787845476648774e-4	Human transcriptome
ANO9	Factor1	3.6665690567578245e-4	Human transcriptome
ANOS1	Factor1	9.242097447475413e-4	Human transcriptome
ANP32A	Factor1	0.0031401927243105174	Human transcriptome
ANP32B	Factor1	0.15421160738083206	Human transcriptome
ANP32E	Factor1	0.031727502881008084	Human transcriptome
ANPEP	Factor1	-0.030437724631394637	Human transcriptome
ANTXR1	Factor1	-3.339820570138212e-4	Human transcriptome
ANTXR2	Factor1	-0.19809238187977962	Human transcriptome
ANXA1	Factor1	0.05123479895086068	Human transcriptome
ANXA10	Factor1	8.180404009664171e-5	Human transcriptome
ANXA11	Factor1	-0.03630920602015412	Human transcriptome
ANXA2	Factor1	0.02126859085340825	Human transcriptome
ANXA2R	Factor1	1.9423755387342877e-5	Human transcriptome
ANXA3	Factor1	-0.016430656048156335	Human transcriptome
ANXA4	Factor1	0.0014611678899090735	Human transcriptome
ANXA5	Factor1	0.6370212793312354	Human transcriptome
ANXA6	Factor1	-0.037939553277406286	Human transcriptome
ANXA7	Factor1	0.0012877006343067186	Human transcriptome
ANXA8	Factor1	-2.68476466622223e-4	Human transcriptome
ANXA8L1	Factor1	-6.603194988192444e-5	Human transcriptome
