x	y	value	x_condition	y_condition
GSM1022680	GSM1022679	0.5618967104423565	Esophagus_EoE	Esophagus_EoE
GSM1022681	GSM1022679	0.5119023345892624	Esophagus_EoE	Esophagus_EoE
GSM1022682	GSM1022679	0.5446384097049355	Esophagus_EoE	Esophagus_EoE
GSM1022683	GSM1022679	0.5609401772753758	Esophagus_EoE	Esophagus_EoE
GSM1022684	GSM1022679	0.5564188956107353	Esophagus_GERD	Esophagus_EoE
GSM1022685	GSM1022679	0.5646215300058497	Esophagus_GERD	Esophagus_EoE
GSM1022686	GSM1022679	0.4978435229353241	Esophagus_GERD	Esophagus_EoE
GSM1022687	GSM1022679	0.4926763699264719	Esophagus_GERD	Esophagus_EoE
GSM1022688	GSM1022679	0.5559220548226006	Esophagus_GERD	Esophagus_EoE
GSM1022689	GSM1022679	0.5633329293943433	Esophagus_GERD	Esophagus_EoE
GSM1022690	GSM1022679	0.5170777033770779	Esophagus_Control	Esophagus_EoE
GSM1022691	GSM1022679	0.4774708003329722	Esophagus_Control	Esophagus_EoE
GSM1022692	GSM1022679	0.5327096049606148	Esophagus_Control	Esophagus_EoE
GSM1022693	GSM1022679	0.549517292501368	Esophagus_Control	Esophagus_EoE
GSM1022694	GSM1022679	0.5000552123068684	Esophagus_Control	Esophagus_EoE
GSM1022695	GSM1022679	0.526364146904458	Esophagus_Control	Esophagus_EoE
GSM1385778	GSM1022679	0.5060822096478964	Esophagus_Control	Esophagus_EoE
GSM1385779	GSM1022679	0.5731850258730986	Esophagus_Control	Esophagus_EoE
GSM1385780	GSM1022679	0.5692983406844686	Esophagus_Control	Esophagus_EoE
GSM1385781	GSM1022679	0.6256861010776553	Esophagus_Control	Esophagus_EoE
GSM1385782	GSM1022679	0.6114292020948092	Esophagus_Control	Esophagus_EoE
GSM1385783	GSM1022679	0.5691744664465053	Esophagus_Control	Esophagus_EoE
GSM1415906	GSM1022679	0.4342095262294897	Esophagus_Control	Esophagus_EoE
GSM1415907	GSM1022679	0.42055764176754984	Esophagus_Control	Esophagus_EoE
GSM1415908	GSM1022679	0.47379576996372874	Esophagus_Control	Esophagus_EoE
GSM1415909	GSM1022679	0.5377659841406435	Esophagus_Control	Esophagus_EoE
