feature	factor	value	view
ABI2	Factor1	-2.175225651858866e-5	Human transcriptome
ABI3	Factor1	3.8848128101653957e-7	Human transcriptome
ABI3BP	Factor1	2.6660901647785364e-6	Human transcriptome
ABL1	Factor1	3.260499232975623e-5	Human transcriptome
ABL2	Factor1	2.145245673091155e-5	Human transcriptome
ABLIM1	Factor1	7.142780360199054e-5	Human transcriptome
ABLIM3	Factor1	-1.6305937660531755e-4	Human transcriptome
ABR	Factor1	-4.756939886086947e-5	Human transcriptome
ABRACL	Factor1	2.5023069161974356e-5	Human transcriptome
ABT1	Factor1	3.709989975899612e-6	Human transcriptome
ABTB1	Factor1	-3.4240812370170702e-6	Human transcriptome
ABTB2	Factor1	-8.420193586678415e-6	Human transcriptome
AC004381.6	Factor1	-3.4176193988999356e-7	Human transcriptome
AC005154.6	Factor1	-2.3767940360911304e-6	Human transcriptome
AC005682.5	Factor1	3.5182228528644655e-7	Human transcriptome
AC007879.7	Factor1	-4.3005876966738484e-8	Human transcriptome
AC009948.5	Factor1	3.8485402977563433e-7	Human transcriptome
AC013461.1	Factor1	-9.76072311495537e-7	Human transcriptome
AC024560.3	Factor1	1.5431759662469573e-6	Human transcriptome
AC025335.1	Factor1	1.6525659246694145e-6	Human transcriptome
AC093323.3	Factor1	1.7841341370085792e-6	Human transcriptome
AC093838.4	Factor1	8.726515695759564e-7	Human transcriptome
ACAA1	Factor1	-6.201026765110367e-5	Human transcriptome
ACAA2	Factor1	3.230201242401786e-5	Human transcriptome
ACACA	Factor1	-5.7701524910998065e-5	Human transcriptome
ACACB	Factor1	-6.563728202317629e-7	Human transcriptome
ACAD10	Factor1	-1.0585545681158225e-6	Human transcriptome
ACAD8	Factor1	4.957447837866298e-6	Human transcriptome
ACAD9	Factor1	-6.55054536252495e-7	Human transcriptome
ACADM	Factor1	6.683855224770701e-5	Human transcriptome
ACADS	Factor1	-5.5585064048471236e-5	Human transcriptome
ACADSB	Factor1	-4.877640817536435e-6	Human transcriptome
ACADVL	Factor1	0.001849785371424709	Human transcriptome
ACAP1	Factor1	1.00631619787642e-5	Human transcriptome
ACAP2	Factor1	8.630465078348334e-5	Human transcriptome
ACAP3	Factor1	-4.491862885631009e-6	Human transcriptome
ACAT1	Factor1	-4.088074162169644e-6	Human transcriptome
ACAT2	Factor1	-4.76746037077698e-7	Human transcriptome
ACBD3	Factor1	0.04088449959311108	Human transcriptome
ACBD5	Factor1	9.319518790617426e-6	Human transcriptome
ACBD6	Factor1	2.7026327102269824e-6	Human transcriptome
ACCS	Factor1	-6.415458596463169e-6	Human transcriptome
ACD	Factor1	-8.581481143413113e-8	Human transcriptome
ACER3	Factor1	6.1070498917709744e-6	Human transcriptome
ACIN1	Factor1	-3.6733639602553715e-6	Human transcriptome
ACKR3	Factor1	2.844221505033286e-5	Human transcriptome
ACLY	Factor1	3.6381371520589185e-5	Human transcriptome
ACO1	Factor1	-5.812891235726958e-6	Human transcriptome
ACO2	Factor1	-0.03025561369145303	Human transcriptome
ACOT11	Factor1	1.8282712083915733e-5	Human transcriptome
ACOT13	Factor1	1.0075181511983233e-5	Human transcriptome
ACOT7	Factor1	-9.962475660462896e-5	Human transcriptome
ACOT8	Factor1	-7.340830420443258e-7	Human transcriptome
ACOT9	Factor1	-3.857100118197997e-6	Human transcriptome
ACOX1	Factor1	1.5409118149034437e-4	Human transcriptome
ACOX3	Factor1	-4.42721600933891e-6	Human transcriptome
ACP1	Factor1	0.04187837967186202	Human transcriptome
ACP2	Factor1	3.961996834192119e-6	Human transcriptome
ACP6	Factor1	-5.524956364841945e-6	Human transcriptome
ACPP	Factor1	9.245172964217304e-6	Human transcriptome
ACRBP	Factor1	2.178431927361367e-7	Human transcriptome
ACSF2	Factor1	-6.6198947889880615e-6	Human transcriptome
ACSF3	Factor1	4.1266799423461166e-5	Human transcriptome
ACSL1	Factor1	3.0921567593452095e-5	Human transcriptome
ACSL3	Factor1	0.06471552043306276	Human transcriptome
ACSL4	Factor1	4.463867595601712e-5	Human transcriptome
ACSS1	Factor1	-1.6514692259597532e-6	Human transcriptome
ACSS2	Factor1	5.099260150400534e-6	Human transcriptome
ACTA2	Factor1	-2.7956722324687453e-6	Human transcriptome
ACTB	Factor1	0.0025655730409831	Human transcriptome
ACTG1	Factor1	0.003835403207692028	Human transcriptome
ACTG2	Factor1	-2.817708217143717e-6	Human transcriptome
ACTL6A	Factor1	4.976412715478878e-6	Human transcriptome
ACTN1	Factor1	0.012949914150388058	Human transcriptome
ACTN4	Factor1	0.01855483776911166	Human transcriptome
ACTR10	Factor1	0.03554255471323579	Human transcriptome
ACTR1A	Factor1	-2.1454186633406332e-5	Human transcriptome
ACTR1B	Factor1	7.585512562456595e-6	Human transcriptome
ACTR2	Factor1	0.13853146402765662	Human transcriptome
ACTR3	Factor1	6.119345657328297e-5	Human transcriptome
ACTR5	Factor1	6.924623335863352e-6	Human transcriptome
ACTR6	Factor1	4.679557249920403e-5	Human transcriptome
ACTR8	Factor1	-1.458999250686769e-6	Human transcriptome
ACVR1	Factor1	5.958052200035483e-6	Human transcriptome
ACVR1B	Factor1	6.945296828570413e-6	Human transcriptome
ACVR2A	Factor1	0.008598691757864598	Human transcriptome
ACVR2B	Factor1	-5.61996621003193e-6	Human transcriptome
ACYP2	Factor1	1.2838280196917814e-5	Human transcriptome
ADA	Factor1	2.596557964064771e-6	Human transcriptome
ADAM10	Factor1	0.0015087103290161205	Human transcriptome
ADAM12	Factor1	-8.450245016521124e-7	Human transcriptome
ADAM15	Factor1	-1.9072851503835531e-4	Human transcriptome
ADAM17	Factor1	2.0736107940751002e-5	Human transcriptome
ADAM19	Factor1	1.225377121360147e-4	Human transcriptome
ADAM23	Factor1	1.453733852781651e-5	Human transcriptome
ADAM33	Factor1	-1.1476554095906201e-8	Human transcriptome
ADAM8	Factor1	3.0881395852668917e-6	Human transcriptome
ADAM9	Factor1	0.03760591483931439	Human transcriptome
ADAMTS1	Factor1	-2.1215305503824518e-5	Human transcriptome
ADAMTS10	Factor1	4.036005539120959e-7	Human transcriptome
ADAMTS14	Factor1	1.632073082910849e-5	Human transcriptome
ADAMTS15	Factor1	-4.429495216027265e-6	Human transcriptome
ADAMTS2	Factor1	-8.99309800836321e-7	Human transcriptome
ADAMTS5	Factor1	2.025711150702303e-8	Human transcriptome
ADAMTS6	Factor1	7.398909057057773e-7	Human transcriptome
ADAMTS7	Factor1	1.321607687571095e-6	Human transcriptome
ADAMTSL4	Factor1	-3.603776120661209e-6	Human transcriptome
ADAMTSL5	Factor1	1.3866025390946625e-7	Human transcriptome
ADAR	Factor1	1.2376616959886388e-4	Human transcriptome
ADARB1	Factor1	-3.0428898582271988e-6	Human transcriptome
ADAT1	Factor1	-4.654406841646671e-7	Human transcriptome
ADAT2	Factor1	-1.0435475248274583e-5	Human transcriptome
ADCK1	Factor1	1.102414731046814e-7	Human transcriptome
ADCK2	Factor1	5.074345311576626e-6	Human transcriptome
ADCK5	Factor1	2.0811573492604783e-7	Human transcriptome
ADCY3	Factor1	-1.6677848550796278e-6	Human transcriptome
ADCY6	Factor1	-7.184536461724295e-6	Human transcriptome
ADCY7	Factor1	-1.7991111640846618e-7	Human transcriptome
ADCY9	Factor1	-8.12539869238745e-6	Human transcriptome
ADD1	Factor1	-0.03911400791967267	Human transcriptome
ADD3	Factor1	2.6756192190797405e-5	Human transcriptome
ADGRA2	Factor1	4.866396777967695e-6	Human transcriptome
ADGRA3	Factor1	-9.49625745525673e-6	Human transcriptome
ADGRB2	Factor1	8.514556112563357e-7	Human transcriptome
ADGRD1	Factor1	-3.8594983861840296e-7	Human transcriptome
ADGRE2	Factor1	1.4442385860297066e-6	Human transcriptome
ADGRE5	Factor1	4.0103428223754745e-6	Human transcriptome
ADGRF1	Factor1	-1.088036473751715e-6	Human transcriptome
ADGRF4	Factor1	8.690104361253832e-6	Human transcriptome
ADGRG1	Factor1	1.2210443161765397e-4	Human transcriptome
ADGRG3	Factor1	2.1591416857475308e-7	Human transcriptome
ADGRG6	Factor1	1.2747168501672046e-5	Human transcriptome
ADGRL1	Factor1	6.188472206422398e-6	Human transcriptome
ADGRL2	Factor1	3.5264525929494257e-4	Human transcriptome
ADH1B	Factor1	-1.87666344619091e-8	Human transcriptome
ADH5	Factor1	2.0218638895909107e-5	Human transcriptome
ADH7	Factor1	0.07814864393483165	Human transcriptome
ADI1	Factor1	3.0315460268251642e-6	Human transcriptome
ADIPOR1	Factor1	3.41171334043604e-5	Human transcriptome
ADIPOR2	Factor1	5.022029457346838e-4	Human transcriptome
ADIRF-AS1	Factor1	-2.0745116122843287e-5	Human transcriptome
ADK	Factor1	0.02320212580521133	Human transcriptome
ADM	Factor1	-8.82590319797801e-5	Human transcriptome
ADM2	Factor1	-4.296900373791517e-6	Human transcriptome
ADNP	Factor1	2.8798957283479077e-5	Human transcriptome
ADNP2	Factor1	-4.102325573492728e-6	Human transcriptome
ADO	Factor1	1.5658229453119335e-5	Human transcriptome
ADORA2B	Factor1	1.0351350727869371e-5	Human transcriptome
ADPGK	Factor1	-8.779509365802343e-6	Human transcriptome
ADPRHL2	Factor1	-1.201640925741416e-5	Human transcriptome
ADPRM	Factor1	3.908031130068583e-6	Human transcriptome
ADRB2	Factor1	5.832193439775645e-7	Human transcriptome
ADRM1	Factor1	-1.5035221586586803e-5	Human transcriptome
ADSS	Factor1	4.108804439134299e-6	Human transcriptome
AEBP1	Factor1	5.544679237857778e-7	Human transcriptome
AEBP2	Factor1	-1.0707353004368222e-5	Human transcriptome
AEN	Factor1	2.3743152214034332e-6	Human transcriptome
AES	Factor1	2.6719438220803747e-5	Human transcriptome
AFAP1	Factor1	-5.862705966323563e-7	Human transcriptome
AFAP1L1	Factor1	3.7057421365995425e-6	Human transcriptome
AFAP1L2	Factor1	3.142030479406652e-6	Human transcriptome
AFDN	Factor1	2.4641179531274976e-6	Human transcriptome
AFF1	Factor1	1.5759662744911646e-6	Human transcriptome
AFF3	Factor1	2.0379240638827868e-6	Human transcriptome
AFF4	Factor1	8.521525617215572e-4	Human transcriptome
AFG3L1P	Factor1	9.68599878533465e-7	Human transcriptome
AFG3L2	Factor1	-2.1778549205691124e-6	Human transcriptome
AFMID	Factor1	-8.533000299082826e-7	Human transcriptome
AFTPH	Factor1	0.03391216745945737	Human transcriptome
AGA	Factor1	0.026677902307927718	Human transcriptome
AGAP1	Factor1	6.343702992772409e-7	Human transcriptome
AGAP3	Factor1	1.194534755329548e-5	Human transcriptome
AGBL5	Factor1	-1.1433099572714874e-4	Human transcriptome
AGFG1	Factor1	1.8724306851640653e-5	Human transcriptome
AGFG2	Factor1	-2.092144110195023e-6	Human transcriptome
AGGF1	Factor1	5.364061184444055e-6	Human transcriptome
AGK	Factor1	6.796009740495864e-6	Human transcriptome
AGL	Factor1	-2.3047975528833686e-5	Human transcriptome
AGO1	Factor1	-2.615173953986511e-6	Human transcriptome
AGO2	Factor1	1.009357827616938e-4	Human transcriptome
AGO3	Factor1	3.547268396358759e-6	Human transcriptome
AGO4	Factor1	-3.0058324775093565e-6	Human transcriptome
AGPAT1	Factor1	-2.086468737463394e-7	Human transcriptome
AGPAT2	Factor1	1.0962358185571854e-6	Human transcriptome
AGPAT3	Factor1	-1.6790357092082351e-7	Human transcriptome
AGPAT4	Factor1	-2.222646987932637e-5	Human transcriptome
AGPAT5	Factor1	0.028043316466460886	Human transcriptome
AGPS	Factor1	1.3861909139348724e-5	Human transcriptome
AGR2	Factor1	-3.026214738108754e-7	Human transcriptome
AGRN	Factor1	1.7831235328674e-5	Human transcriptome
AGTPBP1	Factor1	0.022184029035254144	Human transcriptome
AGTRAP	Factor1	3.1594140698306067e-6	Human transcriptome
AHCTF1	Factor1	-1.3736568978803875e-6	Human transcriptome
AHCY	Factor1	0.0015439681208693989	Human transcriptome
AHCYL1	Factor1	8.733115225260457e-6	Human transcriptome
AHCYL2	Factor1	-2.372470637547444e-5	Human transcriptome
AHDC1	Factor1	-1.254080867332305e-5	Human transcriptome
AHI1	Factor1	2.1801094057053846e-5	Human transcriptome
AHNAK	Factor1	2.4909622819891545e-5	Human transcriptome
AHNAK2	Factor1	9.479996496424694e-4	Human transcriptome
AHR	Factor1	-1.2621349444397978e-6	Human transcriptome
AHSA1	Factor1	-6.988257516704533e-7	Human transcriptome
AHSA2	Factor1	-5.847135901864627e-6	Human transcriptome
AHSP	Factor1	1.0641725569384428e-7	Human transcriptome
AIDA	Factor1	-6.638743118004129e-7	Human transcriptome
AIF1L	Factor1	2.529661845573505e-5	Human transcriptome
AIFM1	Factor1	9.88667858844852e-6	Human transcriptome
AIFM2	Factor1	3.023003857857029e-6	Human transcriptome
AIG1	Factor1	3.96226686561162e-6	Human transcriptome
AIM1	Factor1	1.7022734300172602e-6	Human transcriptome
AIM1L	Factor1	-7.887797052973146e-7	Human transcriptome
AIMP1	Factor1	1.6779588354447454e-5	Human transcriptome
AIMP2	Factor1	5.855657209714275e-6	Human transcriptome
AIP	Factor1	-2.204635277146642e-6	Human transcriptome
AJUBA	Factor1	2.530811511161957e-6	Human transcriptome
AK2	Factor1	1.2020155429720374e-4	Human transcriptome
AK3	Factor1	2.7185809348652795e-6	Human transcriptome
AK4	Factor1	-4.947947420968947e-6	Human transcriptome
AK6	Factor1	0.008109289024351287	Human transcriptome
AKAP1	Factor1	-7.576596630836338e-6	Human transcriptome
AKAP10	Factor1	1.0133536428926594e-5	Human transcriptome
AKAP11	Factor1	3.148567321099392e-5	Human transcriptome
AKAP12	Factor1	-1.1215902161746915e-4	Human transcriptome
AKAP13	Factor1	3.091957108584576e-6	Human transcriptome
AKAP5	Factor1	2.5007159035788105e-6	Human transcriptome
AKAP8	Factor1	5.197984327663252e-6	Human transcriptome
AKAP8L	Factor1	-2.8240052705140688e-5	Human transcriptome
AKAP9	Factor1	0.06341574236055329	Human transcriptome
AKIP1	Factor1	5.095896122088632e-6	Human transcriptome
AKIRIN1	Factor1	2.2140592456535225e-5	Human transcriptome
AKIRIN2	Factor1	1.5733387620918601e-6	Human transcriptome
AKNA	Factor1	-6.39181136984497e-6	Human transcriptome
AKR1A1	Factor1	1.0024711115218707e-4	Human transcriptome
AKR1B1	Factor1	-4.593245358423657e-5	Human transcriptome
AKR1B10	Factor1	-2.3153105534486105e-7	Human transcriptome
AKR1C1	Factor1	2.1272139130691816e-5	Human transcriptome
AKR1C2	Factor1	0.0615707228906648	Human transcriptome
AKR1C3	Factor1	-8.153045438579858e-6	Human transcriptome
AKR7A2	Factor1	-1.1244903208494048e-5	Human transcriptome
AKT1	Factor1	-9.409935126343928e-6	Human transcriptome
AKT1S1	Factor1	4.725714269942429e-6	Human transcriptome
AKT2	Factor1	-9.629638624099519e-5	Human transcriptome
AKT3	Factor1	2.9905698725044634e-6	Human transcriptome
AKTIP	Factor1	0.03303206160716071	Human transcriptome
ALAD	Factor1	-7.788072183521727e-6	Human transcriptome
ALAS1	Factor1	-1.5324152066669455e-6	Human transcriptome
ALAS2	Factor1	1.0378592784007088e-6	Human transcriptome
ALCAM	Factor1	6.33926593448098e-5	Human transcriptome
ALDH16A1	Factor1	-2.5515193179161078e-6	Human transcriptome
ALDH18A1	Factor1	-6.249993879564648e-6	Human transcriptome
ALDH1A1	Factor1	-1.5279428170476225e-6	Human transcriptome
ALDH1A3	Factor1	-1.5867918913713085e-5	Human transcriptome
ALDH1B1	Factor1	-1.2742801283319183e-6	Human transcriptome
ALDH1L2	Factor1	5.286905348427638e-5	Human transcriptome
ALDH2	Factor1	5.942211401604007e-6	Human transcriptome
ALDH3A1	Factor1	-2.7039789404592406e-6	Human transcriptome
ALDH3A2	Factor1	1.225907088114652e-4	Human transcriptome
ALDH3B1	Factor1	-6.0110412951701055e-6	Human transcriptome
ALDH3B2	Factor1	-3.1394151535357686e-7	Human transcriptome
ALDH4A1	Factor1	-5.96027042993978e-6	Human transcriptome
ALDH5A1	Factor1	1.3961989417697733e-5	Human transcriptome
ALDH6A1	Factor1	-4.38171911409752e-6	Human transcriptome
ALDH7A1	Factor1	-1.3500764943831797e-5	Human transcriptome
ALDH9A1	Factor1	3.183595471694413e-6	Human transcriptome
ALDOA	Factor1	-2.5173266226935224e-6	Human transcriptome
ALDOC	Factor1	-1.4173227667049433e-5	Human transcriptome
ALG1	Factor1	-1.1232416742838226e-6	Human transcriptome
ALG10B	Factor1	1.5115771189469833e-6	Human transcriptome
ALG11	Factor1	2.162148324754243e-5	Human transcriptome
ALG12	Factor1	-1.646745009750037e-6	Human transcriptome
ALG13	Factor1	0.02089428068021702	Human transcriptome
ALG14	Factor1	2.411238278959878e-6	Human transcriptome
ALG2	Factor1	9.689322776330905e-7	Human transcriptome
ALG3	Factor1	-4.8173120168498884e-8	Human transcriptome
ALG5	Factor1	8.125401380576724e-6	Human transcriptome
ALG6	Factor1	4.9193553762825e-7	Human transcriptome
ALG8	Factor1	1.2853289984257566e-6	Human transcriptome
ALKBH1	Factor1	4.093882870383053e-6	Human transcriptome
ALKBH2	Factor1	1.2843972465601788e-6	Human transcriptome
ALKBH3	Factor1	1.1652194542973763e-5	Human transcriptome
ALKBH4	Factor1	-5.422335645480223e-7	Human transcriptome
ALKBH5	Factor1	-3.67309436171563e-6	Human transcriptome
ALKBH7	Factor1	7.02511132210149e-6	Human transcriptome
ALKBH8	Factor1	3.622383451879284e-5	Human transcriptome
ALMS1	Factor1	-4.8758474617093995e-6	Human transcriptome
ALOX12	Factor1	5.530339285739001e-7	Human transcriptome
ALOX15	Factor1	-2.1074417338060133e-6	Human transcriptome
ALOX15B	Factor1	8.794185807280441e-7	Human transcriptome
ALOX5	Factor1	1.3532494084657997e-7	Human transcriptome
ALOX5AP	Factor1	9.54530567598639e-7	Human transcriptome
ALPK1	Factor1	3.1818834487819013e-6	Human transcriptome
ALPL	Factor1	7.054711255180436e-7	Human transcriptome
ALS2	Factor1	3.3757217819150106e-7	Human transcriptome
ALS2CL	Factor1	9.603354195202345e-7	Human transcriptome
ALYREF	Factor1	-2.809626361106587e-5	Human transcriptome
AMBRA1	Factor1	1.2667405863424582e-7	Human transcriptome
AMD1	Factor1	0.08562253378661135	Human transcriptome
AMDHD2	Factor1	-4.281338268307755e-6	Human transcriptome
AMER1	Factor1	2.3091804920634405e-6	Human transcriptome
AMFR	Factor1	-3.283386623050322e-6	Human transcriptome
AMIGO1	Factor1	1.2600693580966846e-6	Human transcriptome
AMIGO2	Factor1	1.6213735916136625e-5	Human transcriptome
AMMECR1	Factor1	0.03091031108485134	Human transcriptome
AMMECR1L	Factor1	-3.152712197571011e-7	Human transcriptome
AMOT	Factor1	-9.587142325816565e-7	Human transcriptome
AMOTL1	Factor1	-4.264534122083762e-4	Human transcriptome
AMOTL2	Factor1	5.7096869712085265e-5	Human transcriptome
AMPD2	Factor1	1.2195991601074363e-7	Human transcriptome
AMPD3	Factor1	-2.2863738786562056e-5	Human transcriptome
AMZ2	Factor1	0.024161762667330153	Human transcriptome
ANAPC1	Factor1	8.90476428545822e-6	Human transcriptome
ANAPC11	Factor1	6.559870203819309e-6	Human transcriptome
ANAPC13	Factor1	8.099622261828915e-6	Human transcriptome
ANAPC16	Factor1	6.788114448794821e-5	Human transcriptome
ANAPC2	Factor1	-2.0217038295738634e-6	Human transcriptome
ANAPC4	Factor1	1.0103982349743474e-5	Human transcriptome
ANAPC5	Factor1	7.697733908476956e-5	Human transcriptome
ANAPC7	Factor1	4.4830762478659085e-6	Human transcriptome
ANGEL1	Factor1	-7.729936208014362e-5	Human transcriptome
ANGEL2	Factor1	-1.596595075534885e-6	Human transcriptome
ANGPT1	Factor1	-1.9227323107089344e-7	Human transcriptome
ANGPTL2	Factor1	-1.4682394942306772e-6	Human transcriptome
ANGPTL4	Factor1	8.60446179502855e-6	Human transcriptome
ANGPTL7	Factor1	-3.1951693104805936e-7	Human transcriptome
ANK1	Factor1	8.348009001457159e-7	Human transcriptome
ANK2	Factor1	5.2502164738074105e-6	Human transcriptome
ANK3	Factor1	2.2355033622676727e-6	Human transcriptome
ANKDD1A	Factor1	-7.912228347278257e-7	Human transcriptome
ANKEF1	Factor1	3.9261287146569094e-7	Human transcriptome
ANKFY1	Factor1	4.678336384774156e-6	Human transcriptome
ANKH	Factor1	3.5003723616628386e-5	Human transcriptome
ANKIB1	Factor1	-4.676108358627915e-7	Human transcriptome
ANKLE2	Factor1	-1.8767677786411088e-5	Human transcriptome
ANKMY1	Factor1	-7.960414045575541e-7	Human transcriptome
ANKMY2	Factor1	3.8893796983768325e-6	Human transcriptome
ANKRA2	Factor1	-8.172360722389609e-8	Human transcriptome
ANKRD10	Factor1	-2.407293657590978e-7	Human transcriptome
ANKRD10-IT1	Factor1	-3.70318272752754e-8	Human transcriptome
ANKRD11	Factor1	4.68099269315928e-5	Human transcriptome
ANKRD12	Factor1	0.038027214530820724	Human transcriptome
ANKRD13A	Factor1	2.855359422169112e-4	Human transcriptome
ANKRD13B	Factor1	-1.1231445219270974e-6	Human transcriptome
ANKRD13C	Factor1	1.1160779104773405e-6	Human transcriptome
ANKRD13D	Factor1	7.020680904100397e-7	Human transcriptome
ANKRD16	Factor1	-1.916560558597019e-6	Human transcriptome
ANKRD17	Factor1	-2.990629033950074e-5	Human transcriptome
ANKRD20A11P	Factor1	-2.4245006017426092e-6	Human transcriptome
ANKRD20A5P	Factor1	-1.916055595079554e-6	Human transcriptome
ANKRD22	Factor1	2.3610929392480088e-6	Human transcriptome
ANKRD26	Factor1	-2.984706317202734e-6	Human transcriptome
ANKRD27	Factor1	-1.3054969092721823e-6	Human transcriptome
ANKRD28	Factor1	1.2309904419926776e-6	Human transcriptome
ANKRD29	Factor1	2.604836129855216e-6	Human transcriptome
ANKRD33B	Factor1	2.5736575764113047e-6	Human transcriptome
ANKRD35	Factor1	-1.0001554665604435e-5	Human transcriptome
ANKRD36	Factor1	-1.28286396331709e-6	Human transcriptome
ANKRD36C	Factor1	-2.632999884893214e-6	Human transcriptome
ANKRD37	Factor1	8.997211086290331e-7	Human transcriptome
ANKRD39	Factor1	2.317807900550593e-6	Human transcriptome
ANKRD40	Factor1	-1.5503862491713982e-6	Human transcriptome
ANKRD42	Factor1	-6.612099507178036e-7	Human transcriptome
ANKRD44	Factor1	1.8416032730809108e-7	Human transcriptome
ANKRD46	Factor1	0.010256198607674195	Human transcriptome
ANKRD49	Factor1	0.019145948295279082	Human transcriptome
ANKRD50	Factor1	8.587166168973056e-6	Human transcriptome
ANKRD52	Factor1	-6.159156113074594e-7	Human transcriptome
ANKRD54	Factor1	-1.3533333979589533e-6	Human transcriptome
ANKRD6	Factor1	1.1701788223280078e-5	Human transcriptome
ANKRD9	Factor1	-3.0492417875945168e-6	Human transcriptome
ANKS1A	Factor1	-5.5801395585620266e-6	Human transcriptome
ANKS3	Factor1	-1.3916415745872202e-6	Human transcriptome
ANKS6	Factor1	4.0011181814043815e-5	Human transcriptome
ANKZF1	Factor1	-4.365403488336149e-6	Human transcriptome
ANLN	Factor1	-1.4629034109271085e-5	Human transcriptome
ANO1	Factor1	1.7048807664378374e-5	Human transcriptome
ANO10	Factor1	-5.881966584125219e-6	Human transcriptome
ANO6	Factor1	-7.090672636268086e-6	Human transcriptome
ANO8	Factor1	-3.640050339316877e-6	Human transcriptome
ANO9	Factor1	-6.9019990997531404e-9	Human transcriptome
ANOS1	Factor1	2.2682293935029447e-5	Human transcriptome
ANP32A	Factor1	-9.831143332985725e-7	Human transcriptome
ANP32B	Factor1	3.648415671582872e-5	Human transcriptome
ANP32E	Factor1	4.204453066172172e-6	Human transcriptome
ANPEP	Factor1	-2.6276840202040895e-6	Human transcriptome
ANTXR1	Factor1	-1.4238749278854233e-5	Human transcriptome
ANTXR2	Factor1	-1.1046071205390155e-5	Human transcriptome
ANXA1	Factor1	0.006703414748843633	Human transcriptome
ANXA11	Factor1	0.004510986685719143	Human transcriptome
ANXA2	Factor1	0.012554847756618803	Human transcriptome
ANXA2P2	Factor1	-7.913057214187878e-8	Human transcriptome
ANXA3	Factor1	1.9304200250196426e-6	Human transcriptome
ANXA4	Factor1	-5.82705750719049e-5	Human transcriptome
ANXA5	Factor1	0.022526720910692348	Human transcriptome
ANXA6	Factor1	1.5265967060365852e-5	Human transcriptome
ANXA7	Factor1	1.3900527689319487e-5	Human transcriptome
ANXA8	Factor1	1.2525769585387207e-6	Human transcriptome
ANXA8L1	Factor1	-5.637201409537194e-9	Human transcriptome
ANXA9	Factor1	-1.1938182467133341e-6	Human transcriptome
